Country Name,Country Code,Year,gdp,pop,medal number
Belarus,BLR,2000,12738912134.0,9979610.0,22.0
Cuba,CUB,2000,30565400000.0,11126423.0,69.0
Czech Republic,CZE,2000,61828166496.0,10255063.0,9.0
Spain,ESP,2000,596877648793.0,40567864.0,43.0
Estonia,EST,2000,5686579748.0,1396985.0,3.0
India,IND,2000,468394937262.0,1056575548.0,1.0
Ethiopia,ETH,2000,8242392104.0,66224809.0,8.0
Finland,FIN,2000,125706651926.0,5176209.0,5.0
France,FRA,2000,1362248940483.0,60912500.0,66.0
United Kingdom,GBR,2000,1662127402028.0,58892514.0,55.0
Georgia,GEO,2000,3057475335.0,4077131.0,6.0
Hungary,HUN,2000,47218405892.0,10210971.0,53.0
Colombia,COL,2000,99886577331.0,39629965.0,1.0
Morocco,MAR,2004,59626020162.0,30115196.0,3.0
Lithuania,LTU,2004,22627507452.0,3377075.0,3.0
"Korea, Rep.",KOR,2004,793175007858.0,48082519.0,52.0
Kenya,KEN,2004,16095337094.0,35635267.0,7.0
Israel,ISR,2004,135571348059.0,6809000.0,2.0
Japan,JPN,2004,4893116005657.0,127761000.0,94.0
Jamaica,JAM,2004,10174664854.0,2725017.0,13.0
Italy,ITA,2004,1803226967966.0,57685327.0,102.0
Mexico,MEX,2004,782240601985.0,104514934.0,4.0
Kazakhstan,KAZ,2004,43151647003.0,15012984.0,8.0
Norway,NOR,2004,264511630667.0,4591910.0,7.0
"Venezuela, RB",VEN,2004,112453382330.0,25996594.0,2.0
Poland,POL,2004,255110181540.0,38182222.0,12.0
Romania,ROU,2004,74972669057.0,21451748.0,39.0
Slovak Republic,SVK,2004,57332015148.0,5372280.0,10.0
Sweden,SWE,2004,385118044877.0,8993531.0,12.0
Syrian Arab Republic,SYR,2004,112863340757.0,17827827.0,1.0
Thailand,THA,2004,172895749632.0,64995303.0,8.0
Turkey,TUR,2004,408876042652.0,67010930.0,10.0
Ukraine,UKR,2004,67220154164.0,47451626.0,48.0
United States,USA,2004,12213729147000.0,292805298.0,264.0
Uzbekistan,UZB,2004,12030023548.0,25864350.0,5.0
India,IND,2004,709148514805.0,1129623466.0,1.0
New Zealand,NZL,2004,103905210084.0,4087500.0,6.0
Hungary,HUN,2004,104141042626.0,10107146.0,40.0
Russian Federation,RUS,2004,591016690743.0,144067316.0,192.0
Georgia,GEO,2004,5125365192.0,3927340.0,4.0
"Hong Kong SAR, China",HKG,2004,169099768875.0,6783500.0,2.0
Argentina,ARG,2004,164657930453.0,38491970.0,47.0
Australia,AUS,2004,614166310997.0,20127400.0,157.0
Austria,AUT,2004,300904221505.0,8171966.0,8.0
